1,263,......[34]..[GHJKLMNP],14
1,263,......[78]..[GHJK],98
1,263,....B.[56]..[^GHJK],114
1,263,....C.[34]..[^GHJKLMNP],13
1,286,......1,13
1,286,......2,13
1,286,......5,114
1,286,......6,114
1,320,,13
1,537,,114
1,874,,114
1,878,,114
1,888,,115
1,888,,125
1,895,,114
1,905,,13
1,918,,13
1,931,,13
1,942,,114
1,1001,,13
1,1122,,13
1,1166,......[0123456789]..[123456789],115
1,1166,......H..[^JKLMNPRSTVWXY123456789],115
1,1252,,114
1,1296,,13
1,1542,......[56]..[456789],114
1,1542,....U.[EF]..[^Y123456789],114
1,1542,....W.H..[^Y123456789A],129
1,1689,......[0123456789]..[456789],114
1,1689,......[EF]..[^JKLMNPRSTVWXY123456789],114
1,1690,,114
1,1801,.........[56789],114
1,1801,......F..[^123456789],114
1,2028,.........[^12345],114
1,2039,......[0123456789]..[789],115
1,2039,......H..[^Y123456789],115
1,2376,......H..[^123456789],115
1,2548,......[EF]..[^Y123456789ABC],114
1,2573,......F..[^Y123456789ABC],114
1,2595,......F..[^ABCD],114
1,2719,......F..[^ABCD],114
2,3,,114
2,239,,13
2,312,,114
2,461,,12
3,82,......3,14
3,82,......5,114
3,82,......6,80
3,82,......7,12
3,82,......9,98
3,167,......5,114
3,167,......6,80
3,167,......8,129
3,206,......3..[BCDE],14
3,206,......5..[BCDEFGH],114
3,206,......6..[BC],80
3,206,......8..[BCDEFGHJ],129
3,217,......3,14
3,217,......9,98
3,462,......3,14
3,462,......6,80
4,1,...[AE].....[^BCDEFGHJKLM],114
4,1,...B.....[^BCDEFGHJ],114
4,1,...C.....[KLM],114
4,1,...D.....[^BCDEFGHJKLM],114
4,1,...D.....K,129
4,1,...F.....[^BCDEFGHJKLM],129
4,6,...[FG].....[KLM],114
4,6,...H.....[KLM],129
4,33,...[ABCD],13
4,33,...[ABCD],80
4,33,...[EFGH],114
4,38,....B....[BCDEFGH],114
4,38,....B....[EFGH],129
4,38,....C....[BCDEFGHJ],114
4,38,....C....G,129
